year,alternative,respondend,utility,probability
2018,tec_bev,resp_average,0.1799922245775398,-1
2018,tec_cv,resp_average,1.313203086368087,-1
2018,tec_fcev,resp_average,-2.4995846980515166,-1
2019,tec_bev,resp_average,0.29900493567434927,-1
2019,tec_cv,resp_average,1.3301394412469252,-1
2019,tec_fcev,resp_average,-2.402041186740708,-1
2020,tec_bev,resp_average,0.38076018236090226,-1
2020,tec_cv,resp_average,1.3471063746192247,-1
2020,tec_fcev,resp_average,-2.320901278240749,-1
2021,tec_bev,resp_average,0.44977741204538935,-1
2021,tec_cv,resp_average,1.362361230088359,-1
2021,tec_fcev,resp_average,-2.2460353404194593,-1
2022,tec_bev,resp_average,0.5152607313791497,-1
2022,tec_cv,resp_average,1.3792975849671967,-1
2022,tec_fcev,resp_average,-2.179398407603671,-1
2023,tec_bev,resp_average,0.5479992275034662,-1
2023,tec_cv,resp_average,1.3928709410266276,-1
2023,tec_fcev,resp_average,-2.1168951011803894,-1
2024,tec_bev,resp_average,0.5722546337677872,-1
2024,tec_cv,resp_average,1.4081563749892232,-1
2024,tec_fcev,resp_average,-2.0585435568829986,-1
2025,tec_bev,resp_average,0.5969506805789839,-1
2025,tec_cv,resp_average,1.4217297310486545,-1
2025,tec_fcev,resp_average,-2.0001920125856074,-1
2026,tec_bev,resp_average,0.6636112931134608,-1
2026,tec_cv,resp_average,1.435303087108085,-1
2026,tec_fcev,resp_average,-1.9460103661474923,-1
2027,tec_bev,resp_average,0.7205962545429423,-1
2027,tec_cv,resp_average,1.4472255222512738,-1
2027,tec_fcev,resp_average,-1.8938401375491056,-1
2028,tec_bev,resp_average,0.7762969192470388,-1
2028,tec_cv,resp_average,1.8870935274717555,-1
2028,tec_fcev,resp_average,-1.841669908950719,-1
2029,tec_bev,resp_average,0.8308356011995977,-1
2029,tec_cv,resp_average,1.9024659257555803,-1
2029,tec_fcev,resp_average,-1.7936514424782237,-1
2030,tec_bev,resp_average,0.8801513542558312,-1
2030,tec_cv,resp_average,1.9137792168931782,-1
2030,tec_fcev,resp_average,-1.0025743047391127,-1
2031,tec_bev,resp_average,1.6645367349073408,-1
2031,tec_cv,resp_average,1.9271526400973509,-1
2031,tec_fcev,resp_average,-0.954555838266617,-1
2032,tec_bev,resp_average,1.7011479584024873,-1
2032,tec_cv,resp_average,1.9364363776618359,-1
2032,tec_fcev,resp_average,-0.9065373717941214,-1
2033,tec_bev,resp_average,1.7370864550414804,-1
2033,tec_cv,resp_average,1.9477496687994338,-1
2033,tec_fcev,resp_average,-0.8626888031809017,-1
2034,tec_bev,resp_average,1.7724133818112424,-1
2034,tec_cv,resp_average,1.9550038527908054,-1
2034,tec_fcev,resp_average,-0.7993969725892116,-1
2035,tec_bev,resp_average,1.8050371086524575,-1
2035,tec_cv,resp_average,1.9622886152756387,-1
2035,tec_fcev,resp_average,-0.7069316385502993,-1
2036,tec_bev,resp_average,1.8297090687247557,-1
2036,tec_cv,resp_average,1.9695427992670098,-1
2036,tec_fcev,resp_average,-0.614466304511387,-1
2037,tec_bev,resp_average,1.8560445599479083,-1
2037,tec_cv,resp_average,1.972737876112155,-1
2037,tec_fcev,resp_average,-0.5220491982366287,-1
2038,tec_bev,resp_average,1.8816098444834064,-1
2038,tec_cv,resp_average,1.9759635314507615,-1
2038,tec_fcev,resp_average,-0.43161341777082957,-1
2039,tec_bev,resp_average,1.9050280863237814,-1
2039,tec_cv,resp_average,1.9791586082959067,-1
2039,tec_fcev,resp_average,-0.341270292284695,-1
2040,tec_bev,resp_average,2.63314888768984,-1
2040,tec_cv,resp_average,1.980324131567939,-1
2040,tec_fcev,resp_average,-0.2508345118188961,-1
2041,tec_bev,resp_average,2.6576745034476463,-1
2041,tec_cv,resp_average,1.9794601012668573,-1
2041,tec_fcev,resp_average,0.5446225423299715,-1
2042,tec_bev,resp_average,2.679772125718059,-1
2042,tec_cv,resp_average,1.9765970958861245,-1
2042,tec_fcev,resp_average,0.6350583227957707,-1
2043,tec_bev,resp_average,2.701594541547318,-1
2043,tec_cv,resp_average,1.97370351201193,-1
2043,tec_fcev,resp_average,0.7233718947087919,-1
2044,tec_bev,resp_average,2.723141750935423,-1
2044,tec_cv,resp_average,1.9687803745646224,-1
2044,tec_fcev,resp_average,0.809607685284546,-1
2045,tec_bev,resp_average,2.740572601542935,-1
2045,tec_cv,resp_average,1.9618582620376632,-1
2045,tec_fcev,resp_average,0.8979212571975672,-1
2046,tec_bev,resp_average,2.7616917120225786,-1
2046,tec_cv,resp_average,1.9528760174441289,-1
2046,tec_fcev,resp_average,0.9862348291105887,-1
2047,tec_bev,resp_average,2.7804745644952136,-1
2047,tec_cv,resp_average,1.943893772850595,-1
2047,tec_fcev,resp_average,1.0725188474504967,-1
2048,tec_bev,resp_average,2.7990739460070793,-1
2048,tec_cv,resp_average,1.9308524211108347,-1
2048,tec_fcev,resp_average,1.1607841915993644,-1
2049,tec_bev,resp_average,2.819581486617492,-1
2049,tec_cv,resp_average,1.9178416478645353,-1
2049,tec_fcev,resp_average,1.2470682099392725,-1
2050,tec_bev,resp_average,2.835722296148503,-1
2050,tec_cv,resp_average,1.902770742551662,-1
2050,tec_fcev,resp_average,1.326098378024642,-1
